address, numBath, numBed, sqFt, marketValEst, monthlyPayment, createdAt, updatedAt
590 Dibbert Course/ Khalilfort/ 93991,5,5,1900,4698003,4010,Sun Apr 12 2020 22:22:06 GMT-0700 (PDT),Sun Apr 12 2020 22:22:06 GMT-0700 (PDT)
23853 Gislason Burg/ Denesikview/ 12118,4,3,2200,2910747,3845,Sun Apr 12 2020 22:22:06 GMT-0700 (PDT),Sun Apr 12 2020 22:22:06 GMT-0700 (PDT)
3999 Grant Springs/ New Esther/ 29412,3,5,1400,4917287,3613,Sun Apr 12 2020 22:22:06 GMT-0700 (PDT),Sun Apr 12 2020 22:22:06 GMT-0700 (PDT)
0925 Gleason Overpass/ Lake Philipport/ 93838-0345,3,5,2700,2416016,2925,Sun Apr 12 2020 22:22:06 GMT-0700 (PDT),Sun Apr 12 2020 22:22:06 GMT-0700 (PDT)
6544 Alene Ridges/ East Marlenemouth/ 19098-4340,4,5,2700,4649128,3236,Sun Apr 12 2020 22:22:06 GMT-0700 (PDT),Sun Apr 12 2020 22:22:06 GMT-0700 (PDT)
737 Hackett Roads/ New Santiagobury/ 47630,1,3,2900,4264993,1246,Sun Apr 12 2020 22:22:06 GMT-0700 (PDT),Sun Apr 12 2020 22:22:06 GMT-0700 (PDT)
224 Doyle Divide/ East Reaganport/ 08972,2,4,2000,3335220,2017,Sun Apr 12 2020 22:22:06 GMT-0700 (PDT),Sun Apr 12 2020 22:22:06 GMT-0700 (PDT)
49314 Bogisich Junction/ Edgarburgh/ 60425,5,2,1900,1881672,3757,Sun Apr 12 2020 22:22:06 GMT-0700 (PDT),Sun Apr 12 2020 22:22:06 GMT-0700 (PDT)
98594 Trantow Island/ West Ottoport/ 21696-7542,2,3,2700,4580398,3735,Sun Apr 12 2020 22:22:06 GMT-0700 (PDT),Sun Apr 12 2020 22:22:06 GMT-0700 (PDT)
82825 McGlynn Villages/ Krajcikland/ 31372,2,1,1100,1789532,3572,Sun Apr 12 2020 22:22:06 GMT-0700 (PDT),Sun Apr 12 2020 22:22:06 GMT-0700 (PDT)
